feature1,feature2,label
1.9820339799207196,194.23933003223053,0
1.982232562733657,194.2587911478984,0
1.9846712529091852,194.49778278510016,0
1.98161212352571,194.19798810551958,0
1.9826031384686942,194.29510756993204,0
1.9744577166444277,193.4968562311539,0
1.9806679287747901,194.10545701992945,0
1.9817764435644538,194.21409146931646,0
1.9820812802352996,194.24396546305937,0
1.9819398543280558,194.23010572414947,0
3.9516192550691813,387.2586869967798,0
3.9614256509692938,388.21971379499075,0
3.961744637592522,388.25097448406717,0
3.962186252238546,388.29425271937754,0
3.965588673269199,388.6276899803815,0
3.9529692950813415,387.39099091797146,0
3.9579855464731164,387.8825835543654,0
3.9654705724130466,388.61611609647855,0
3.9604596500761655,388.1250457074642,0
3.9684073709196146,388.90392235012223,0
2097.305051922339,205535.89508838922,1
2105.0125967094164,206291.2344775228,1
2059.3521407564517,201816.5097941323,1
2117.6596535798076,207530.64605082112,1
2076.6803093208014,203514.67031343852,1
1001.5031242936773,98147.30618078038,1
1189.4861445649751,116569.64216736756,1
1200.2830644155904,117627.74031272785,1
1157.8919549157051,113473.4115817391,1
1519.2330710016013,148884.84095815694,1
1472.662343481163,144320.90966115397,1
1436.9134908022615,140817.52209862164,1
1480.1577216036608,145055.45671715876,1
